Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,177.830002,182.880005,177.710007,182.009995,179.481094,104487900.0
2022-01-04,172.620023,180.388536,176.211397,193.085058,172.600136,0.0
2022-01-05,167.86758,176.796036,179.046459,196.184902,188.092348,453760172764447.0
2022-01-06,171.495009,174.516889,179.089305,187.578594,195.036392,906619287341490.0
2022-01-07,173.196107,177.556243,175.616598,191.393298,191.480458,1432838979174630.0
2022-01-10,191.44369,181.719388,183.88748,196.933774,202.962954,1588693083124082.0
2022-01-11,195.300392,180.325116,180.458137,192.553388,198.775647,1381556709291619.0
2022-01-12,205.212647,186.466999,178.646314,180.885774,210.153257,1424939171550088.0
2022-01-13,196.231023,186.043878,168.330693,181.783979,222.071322,1582242475586813.0
2022-01-14,200.821472,182.904782,163.760214,173.711208,214.79813,1344134106376368.0
2022-01-18,194.800935,184.253277,167.237393,182.924156,219.546556,1902247706134152.0
2022-01-19,198.288712,175.652497,169.435311,179.687988,225.897866,2143668737193519.0
2022-01-20,204.267934,177.220075,173.45856,193.81938,246.905669,1765901407707061.0
2022-01-21,204.817743,167.451827,177.164179,176.594987,241.065417,2555219061426690.0
2022-01-24,225.409349,160.96927,190.92678,177.774259,252.617683,2593639608129774.0
2022-01-25,237.675096,148.157682,186.132267,189.500593,252.852429,2130970291496854.0
2022-01-26,247.809237,147.120522,175.633887,182.328392,243.021103,1779264358610553.0
2022-01-27,254.432628,157.482099,168.858423,181.112479,242.157578,2402424303339637.0
2022-01-28,269.5496,156.815628,164.353218,177.910048,242.273317,3167396461479370.0
2022-01-31,257.459131,161.007306,158.076608,172.420498,233.90126,3589404834969719.0
2022-02-01,269.234373,176.112187,158.789334,174.494529,236.493782,4141711541552146.0
2022-02-02,260.933212,178.774053,167.086977,164.021844,244.249537,4650829957569531.0
2022-02-03,256.261364,173.96811,177.262889,163.198877,246.250487,4882507528938421.0
2022-02-04,261.159864,170.04126,180.663056,167.483768,242.013316,5018351050296915.0
2022-02-07,271.769872,170.12673,194.776163,165.812497,240.921993,5242856888866105.0
2022-02-08,262.088651,166.165864,192.543688,157.744944,240.981687,5549855834600906.0
2022-02-09,257.857129,162.682775,181.959607,166.218942,242.815665,5235434809463602.0
2022-02-10,258.812144,169.056601,188.951794,172.249428,251.787156,5540727677745349.0
2022-02-11,257.353614,175.69166,177.019074,163.847987,254.057922,6151621355638772.0
2022-02-14,264.739975,165.254654,172.177806,153.386007,242.936399,6062292937290993.0
2022-02-15,294.076186,160.110485,175.681399,145.711788,238.535471,5928017390691074.0
2022-02-16,297.766871,157.228277,175.111146,150.235214,239.959191,6125894900322767.0
2022-02-17,291.642488,161.135768,173.961247,152.561396,249.044991,5850140033493476.0
2022-02-18,280.746141,168.51756,166.33346,159.079282,259.520069,5293806230116388.0
2022-02-22,278.106863,185.85559,166.362537,156.503236,273.80849,5773949808020845.0
2022-02-23,270.239229,182.962723,173.030675,149.050535,274.949059,5581762167255021.0
2022-02-24,274.339931,180.388839,173.261125,156.617457,281.149371,5586983689342074.0
2022-02-25,278.308621,184.229149,167.927569,152.189615,269.613878,5327854477108296.0
2022-02-28,274.496872,179.953276,159.862954,153.790513,273.147726,5862264891471544.0
2022-03-01,291.497715,179.134256,154.664418,141.244394,264.644725,6218536539892136.0
2022-03-02,285.371199,176.564783,157.331778,136.683252,264.240619,6114754808159020.0
2022-03-03,284.481713,159.90223,159.68022,144.987882,288.566665,5616004130033390.0
